label,review
1,不错快追上我了[哈哈] //@李宝儿V：又HIGH制了啊。
1,仿佛又回到了那里，和你们！[爱你]
1,哈哈哈//@YanMinChen-: //@Erinis-OVO-: 噗哈哈哈//@CNBLUE_容WW:转发微博。 //@郑小容的二宝:辛普森容和一家 ！！！ 哈哈哈 ~ //@boice小瑜-容容是wuli男神: //@她说_他是她的郑容和:爸爸和儿子……噗，哈哈哈 //@我是容王子的虎牙-CanT-Stop:[亲亲]
0,这还叫领导？叫人渣。//@蓝紫色-:狗日的领导！//@中俊崔春婷:[晕] //@李敖观天下:转发微博
1,吃滴好爽～ //@褚家_大小姐_CQY:[哈哈][哈哈][哈哈][哈哈]批斗会啊
0,起个大早，没赶上晚集！春运还没过啊！[泪]
1,[礼物]优悦会很给力～优悦会的官方微博更给力哦～官网预订还有额外积分相赠～别忘了提前注册哦～[可爱]
1,发财，可是财在哪里//@环球街拍：[哈哈] 发财[钱] @神秘心理学
1,[哈哈]//@千阳游走世界中:乞力马扎罗，亲近你美丽的面额，原来是如此的痛苦。[哈哈][赞]
1,这个必须顶~[蛋糕] 生快大卫童鞋 //@端木妙子:生日快乐~@朗润李大卫 [蛋糕][礼物] //@SSIWI: 快生快生快[鼓掌] //@李瑞球儿:哎哟，生快啊啊@令照_fiveshine @SSIWI 接力 //@朗润李大卫: [心][心]有你真好！！谢谢amy。
1,明天有好吃的了，哈哈哈//@EchoBookCafe: 回复@一个人的旅程也精彩:这个可以有，还可以有西班牙语法语！[嘻嘻] //@一个人的旅程也精彩:我认真想了一下山楂怎么说，再次黯然发现在吃的方面我的热情程度与英文水平呈反比。要求下次活动教教大家那些常见的与美食相关的地道英文
1,位于日本的静冈小丸子博物馆！超级Q~ 有谁想去[太开心]ps还能顺便到伊豆的温泉一条街泡泡温泉，还可以去看看富士山，品品日本最有名的“静冈茶”
1,恭迎汗总！[鼓掌]叫汗总……有点怪怪的[偷笑]@大大老虎926 @左影右虹 @本初子午线- //@汗青微博: 书女沙龙[花心]
1,出入平安，马上性福[哈哈]
1,持续关注～//@来嘛英雄_江静:这个必须暴力转！[哈哈]
1,[太开心] 绝对不伤悲[嘻嘻]
0,好恐怖！ //@麦子爱微笑: @敏一嘴  //@秋天的树子:看看吧//@第四城社区:[抓狂][抓狂][抓狂] 表吓我！！
0,停电了[抓狂]说是附近车祸撞塌了电线杆
1,[爱你]谢兄弟们！不能一一回复！爱你们！呵 //@Mr_HouZi:早日恢复！重出江湖啊！  //@龙腾西瓜:早日康复朝阳哥 //@龙腾31陈越铭:早日康复阿朝阳哥  //@柳朝阳2012:多谢兄弟们！  //@??戒iKxx_?:@柳朝阳2012
1,拿到票就去了么[爱你]
0,哪儿找的啊？那时我还是长头发。。。[泪]
0,[泪] 看着就想剪刘海//@咱们一起去旅行:短发的小清新~~ 剪个这样的发型也不错哟~~~
1,"#晒周末#天气好,心情也舒畅,自己下厨找找情调。煎牛排,烤虎皮椒,凉扮苦瓜,再配一杯干邑,感觉棒极了。周末快乐[太开心]"
0,[泪]//@宋东风:转发微博
0,爸爸存在的理由，是为了共同的时光都是美好回忆！伤感@人多的地方别去 @罗斯里 @瓦拉德 @邵猛Sam //@汇英杰: @汪云清 @张利东 @张耀东 @沙漠王子1?   //@邵猛Sam:[泪][泪][泪]@AUDITJ   //@董芳0000:[泪][泪][泪]  //@汇英杰:写的真好！@叮叮车-金新
1,"上海豫园万丽酒店-官方: 专业的宴会团队,一定为你打造属于自己最浪漫最个性的婚礼![鼓掌]//@米老师3907: 好美的厅，办婚宴一定很浪漫[太开心] //@[鼓掌][鼓掌][鼓掌]奥里维亚_蕊:@上海豫园万丽酒店-官方 不同的宴会厅给你不同的婚宴感受，新推出的景观厅以独特的风景别具一格"
0,我吃了半个月前放冰箱的酱牛肉，不会闹肚子吧？！？[抓狂]
1,应用/平台/操作系统/硬件，都是拥挤的in China //@曾振宇:[嘻嘻] ，经常听创业者讲我们是“唯一“一家，一般不信，不过也没想到竞争已经激烈到这样的程度。//@张自权:还真是 //@疯狂的Tony:真长见识，我不知道有那么多 // @肖楠Sean :真多啊！红海！ // @WIH王道平 :Note..
1,[鼓掌]//@李晨: 我要看… //@宁财神:就在今晚～～
0,[偷笑][抓狂][哈哈][哈哈]踏幽默了。。 //@上海美食攻略:夫妻俩以为两个人睡在一起，精子可以飞来飞去...
0,长途坐在窗口真的很不舒服，不过能看到这些觉得很值得[泪]
1,[哈哈][哈哈]二逼奇葩乐趣多，笑死我了。喜欢你的风格，给生活加点料，每天都要看[哈哈][哈哈]
0,好好的一顿紫光园早点！被坐在对面的一对儿比赛吧唧嘴的夫妇给搅和了！吧唧吧唧的我这一脑门子火啊~！[哼][哼][哼][怒][怒]
1,是啊是啊我中了[嘻嘻] //@无忧PPT:中招率超过90%啊[哈哈]
1,刚刚败的果冻鞋，好舒服，逛街利器呀，开心[爱你][爱你][爱你]
1,毛主席靠小米加步枪打下来天下，我们就靠这刀削面战斗在中关村啦~~~[哈哈][哈哈] http://t.cn/zO2UvVd
1,Chill cool 的完美演绎[哈哈][哈哈] //@杨淇羽:摩登运动感又不失性感，High Fashion！
1,噗噗~//@中国之声雨亭: 上的还是央视综合频道，很赞啊！[嘻嘻]//@广播: 噗……
1,不认识人，也不认识龟，就台词配上这笑脸，莫名觉得好好笑……//@林艺志:[哈哈] //@阿郎的海洋:还是以前的那只乌龟吗  //@网信老那_ZTE_爱拍娃:让海华把乌龟带回来，回头你也骑一下，试试…  //@木易V洋: 乌龟，放开XXX让我来。   //@网信老那_ZTE_爱拍娃: 我儿子说XXX骑了个乌龟……[汗][汗]
0,悦活的那个我喝了好多，[怒]奸商 // @Jerry葛格:转发微博。
1,冰雪若相依，雁飞莫相弃。独舞指尖的流年，你似一缕花香悠悠坠落红尘又一年。祝我最最亲爱的的姐妹@张冰雁 生日快乐。愿今年早日遇到识冰懂雁惜爱的如意郎君啊！[爱你][爱你][爱你][礼物][礼物][蛋糕]
1,他打你左脸，你愤怒，他再打你右脸，你抗议，下面他就想，这孙子还挺有钱，干脆上去抢吧！醒醒吧！在它伸出狗爪子的时候就剁了它，它就老实了！ //@邵明波:就这智商，做鸡啊。 //@沙迎风: 蠢货。 //@任志强: [哈哈]国际关系？ //@赵晓:新型武器。 //@刘春: ＂就不见他，急死他＂这句话好那个啊
1,这场没得让人恶心的闹剧可以以这篇作为总结性陈词了。//@老宅的男: 深夜笑醒，此女好有才，既精辟又搞笑，强推！！可作为这场历史著名论战的嗨皮大Ending文，终于可以欢乐结束了啊你们这群老“坟蛋”！！[哈哈][哈哈]
1,多吃点~[抱抱]
0,我有那么强！怎么不转？[晕]
1,回复@屈广义_虎啸居主人:起拍价不是无底价也是很低哈，另外是水碓子哈[嘻嘻][嘻嘻] //@屈广义_虎啸居主人:多少钱起拍？
1,定位不同~互相学习~~~~良好的竞争氛围~得益的是消费者~~//@??麟Paul: ?是???？[思考] @?歌的?旭文 @?童??otis //@安徒的温迪:教练一番。[哈哈]
0,市公安局舆情监控部门[晕] //@来去之间: 汗，这么快 //@新浪新闻视频:#消防新兵被老兵殴打#@内蒙古乌海市消防支队:关于乌海市乌达区消防二中队打新兵事件情况通报
1,真不错~[哈哈]//@马翔围脖: [哈哈]这个必须是冰激凌广告，欢乐
1,很精彩!//@李开复:[鼓掌]//@陈秋雨:一根羽毛维系了一个庞大系统的平衡，所以谁也不要轻视自己，也许你就是这个羽毛～
1,再次「爱上生活榜--别开生面」，今请到了中国面点大师--乔增广，龙须面可以拉到26*2万根~能穿针，能点火，能溶水~我和我的小伙伴们都惊呆了[威武][给力][围观][哈哈]
0,[晕][汗]又换男友啦？? //@何子韩:what the fuck ！
0,我真的不要再做路痴，在迷路就不出门，服了，彻底被自己打败[怒][怒][怒]
1,恭喜@?菊在漫? @雨润火腿 两位小朋友，将获得我的亲笔签名书。活动持续有效，转发越多机率越大[嘻嘻]大家加油！
0,回复@果粉麦仁:[good] //@果粉麦仁:被典型了，又来事了[泪]
1,哇，大爱的许留山！来个生日礼物吧！[嘻嘻][嘻嘻][嘻嘻][嘻嘻][嘻嘻]
1,哈哈与时俱进，微博滚滚发，签到好礼奖不停，鸣谢@新浪天津旅游 的技术支持喔[鼓掌] //@女儿每天新鲜:好怀神啊
0,口语老师我伤不起你呀，开始上课让我背I Have a dream 的选段，上到一半又来和我说来一段儿关于梦想的英语相声，后半段又来告诉我们关于梦想的创意广告或者是小品，好不容易下课了，您又过来让我编一段rap。亲爱的老师，您究竟要我干嘛...[泪]不就是关于梦想么，那我现在明确的告诉您，我木有梦想！
0,今天干吗呢？已经被两波人约了，还是想在家里宅着，懒的结果就是上周末没打扫卫生，这周末有的干了[泪]，算了，先睡觉吧[偷笑]
0,看来我年纪大点[呵呵][呵呵][泪][哈哈][哈哈] //@再战江湖8888:回复@金毛狗主:梗系糖哥老大  //@金毛狗主:不是厄姐？[偷笑][偷笑][偷笑]  //@再战江湖8888:厄妹和糖哥
1,[鼓掌][偷笑] @张译 张先生你看[嘻嘻]//@金澄顺:所以你就是伟大的?丝经纪人~@康小莉 //@刘峥: 他是一个真实 伟大的?丝 看他演戏真的是享受 好演员 //@主播莎娜:喜欢他的戏！ //@优酷名人坊:@张译粉丝团
0,完蛋！右手还是疼，由于连带着后背疼，一早被抓去做了个心电图，结果无碍，排除了心脏问题引起的，还挂不了，还能凑和活着祸害人间。。。一路上左手开车，脑子里隐约想起某位伟人。对着镜子看了下，这个位置还真的是最不疼的。但话说，我也不会骑马呀。最近也没做任何运动呀[抓狂][抓狂][抓狂]
1,//@安贞袁超:[威武][good][顶][鼓掌][鼓掌]
1,[心]//@虾虾114: 小课桌，大梦想[鼓掌][赞] //@女汉子那:[爱心传递]@第一丈夫烤地瓜 @敖晓宝 @弓长夕颜 @碰碰Q @新余李虹 @-zccy- @07刘佳伟90 @虾虾114 @凡高的麦田怪圈 @新余本土网
1,支持创业！[爱你]加油啊！
1,[哈哈][哈哈][哈哈]//@侯琳飞:好创意！//@kk箱子: 转发微博
0,我日[晕]这种题目都不用看，直接洗洗铺被窝睡觉克。浪费脑细胞！@拖米哥 @Cao7A @daodaodeyu @肥天小飞猪
0,我熟悉了一下地形，看了护士介绍的“老干部病房”，天啊，没有大窗户，只在快接近顶部有三组小窗户，憋闷，监狱似的，晕啊，这是。。。怕老干部跑了[晕][晕]
1,明天春天再来?[赞][握手] //@陈弋弋:很遗憾这个约了快半年的?访没能亲自做，不过@王玉年 同学的文字也打动到我，就不遗憾了[嘻嘻] ！//@梁砚:谢谢玉年，我想他也是棋逢对手，因为是两个爱电影人的诚意对话，关于表演、电影、人生。从夏天到秋天的一次邀约，总算在月初完成这次对话?
1,"【早安，维景】今天遇到一对即将在酒店办婚礼的客人，女孩调侃地对男孩说：“我对你的这点爱，别的不够，结婚是够了”小温馨[太开心] ~This love other enough, marriage is enough……"
1,@小小月心台 @丫丫-erin @33于晨 这个不错噢！看得我都饿了[嘻嘻]
0,邪门了，在公司电话都不带响的，一倒休电话就没完没了的，嗓子疼的要着火了[泪] 我在:http://t.cn/zW2oxwH
1,[哈哈]//@鸣乐汇翟琼: [嘻嘻][嘻嘻][威武][威武][威武] //@数独莹莹:[花心]周六下班后走起！！//@莎莎也叫巴妮朵儿: [鼓掌][鼓掌][鼓掌]
0,哈哈！我有个跟这个差不多的妈，小时候常常让我穿的太奇装异服被老师请家长。我妈来了一般都把老师教训一通然后老师泪奔回家。。。[泪] 怀念老妈[泪] //@萌宠物:人生有此爹无憾啊
1,这个太初级，今天我是打破纪录了[偷笑][神马][爱你][飞机]
1,[鼓掌] //@朱皓毅: 原来蔡总是首发[嘻嘻]
1,回复@学而优陈定方:谁谁可以做一本书啊？！肯定超级畅销，前提是要搞清楚谁发明了这玩意，我觉得爆米花机出现的时间在70年代。 //@学而优陈定方:立项研究一下？[偷笑] //@岛石:一直没搞清楚，爆米花机到底谁发明的啊？ //@学而优陈定方: [哈哈][哈哈][哈哈]
0,站了两个小时终于熬到太原结果被通知回北京的车晚点一个小时[泪]回个北京就这么难嘛[泪]
0,//@机场大郭: 中枪！[泪] //@小猫宝宝: [哈哈][哈哈]
0,知道得太晚了，遗憾！[失望]
0,#主页君碎碎念# 去淘宝逛了一圈，发现卖三文鱼和丸子的店最没有水份，平时什么价，光棍也什么价……顿时人生寂寞如雪，心情好生复杂。[伤心]
